Category_ID,Category_Name,Category_Slug,BusinessMode_ID,BusinessMode_Name,BusinessMode_Slug,Subcategory_ID,Subcategory_Name,Subcategory_Slug,Output_Language,Base_Prompt_Prefix,Product_Integrity_Rules,Negative_Prompt
"cat_women","Women","women","bm_boutique_women","Boutique Women","boutique-women","sub_boutique_outfit_coordination","Outfit Coordination","outfit-coordination","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_women","Women","women","bm_boutique_women","Boutique Women","boutique-women","sub_boutique_rack_presentation","Rack Presentation","rack-presentation","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_women","Women","women","bm_boutique_women","Boutique Women","boutique-women","sub_boutique_hero_product","Hero Product In Store","hero-product-in-store","it","A close-up, candid-style product editorial shot of designer sneakers, highlighted within a minimalist, high-end sneaker boutique. The environment features polished concrete floors and textured raw plaster walls, creating a clean, architectural backdrop. Cinematography is captured on a full-frame DSLR with an 85mm f/1.8 lens, achieving a shallow depth of field that isolates the product. The lighting is bright and diffused, mimicking a large softbox, casting soft shadows and accentuating the shoe's textures—premium leather, soft suede, and intricate stitching. The anonymous model's relaxed pose, styled with cropped raw-hem denim or flowing linen trousers, evokes an effortless urban chic mood, all rendered with a subtle desaturated commercial color grade.","",""
"cat_women","Women","women","bm_boutique_women","Boutique Women","boutique-women","sub_boutique_store_interior","Store Interior","store-interior","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_women","Women","women","bm_boutique_women","Boutique Women","boutique-women","sub_boutique_mannequin_display","Mannequin Display","mannequin-display","it","Professional digital photograph, 85mm f/1.8 lens, capturing an immaculate visual merchandising display. A single haute couture garment is impeccably presented on a central dress form within a serene, high-end atelier. The environment features warm beige walls, light oak flooring, and softly blurred racks of clothing on brushed brass hangers. Lighting is a flawless blend of diffused softboxes and warm recessed ceiling spotlights, creating a gentle, shadowless glow that highlights the garment's exquisite textures—shimmering sequins, delicate tulle, and smooth satin. The mood is one of quiet, aspirational luxury, perfect for a retail catalogue.","",""
"cat_women","Women","women","bm_ceremony_women","Ceremony / Elegant Women","ceremony-elegant-women","sub_ceremony_women_luxury_display","Luxury Display","luxury-display","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_women","Women","women","bm_ceremony_women","Ceremony / Elegant Women","ceremony-elegant-women","sub_ceremony_women_dress_spotlight","Dress Spotlight","dress-spotlight","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_women","Women","women","bm_ceremony_women","Ceremony / Elegant Women","ceremony-elegant-women","sub_ceremony_women_evening_gown","Evening Gown","evening-gown","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_women","Women","women","bm_ceremony_women","Ceremony / Elegant Women","ceremony-elegant-women","sub_ceremony_women_detail_fabric","Detail Fabric","detail-fabric","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_women","Women","women","bm_ceremony_women","Ceremony / Elegant Women","ceremony-elegant-women","0b6af113-b8b7-49d8-94f6-a3fab4870195","Studio Elegance","studio-elegance","it","A highly professional fashion studio photo, shot on an 85mm lens at f/2.0, capturing an elegant gown with ultra-clean composition. The environment is a minimal, seamless white studio background, illuminated by soft, diffused lighting that creates a refined, premium aesthetic with gentle shadows. A model with a calm, elegant stance poses naturally, highlighting the garment's silhouette. The gown, a 1:1 replica of the reference, features a structured satin corset and a flowing, pleated skirt, showcasing its precise shape and fabric texture. No props, text, or any additional distracting elements are present in the frame.","",""
"cat_women","Women","women","bm_kids_teen","Kids / Teen Store","kids-teen-store","","","","","","",""
"cat_men","Men","men","bm_ceremony_men","Ceremony / Elegant Men","ceremony-elegant-men","sub_ceremony_men_suit_hanging","Suit Hanging Display","suit-hanging-display","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_men","Men","men","bm_ceremony_men","Ceremony / Elegant Men","ceremony-elegant-men","sub_ceremony_men_wardrobe_presentation","Wardrobe Presentation","wardrobe-presentation","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_product","Product / Generic","product-generic","bm_generic_store","Generic Store","generic-store","sub_generic_flat_lay","Flat Lay Product","flat-lay-product","it","Hyper-realistic product photography, top-down flat lay perspective, emulating a Hasselblad with a 100mm macro lens on Kodak Portra 160 for subtle color fidelity. A single, meticulously folded apparel item—hoodie, sweater, or t-shirt—is the hero. The scene is illuminated by a massive, heavily diffused overhead softbox, casting minimal, soft-edged shadows. The environment is a pristine, minimalist surface: either a seamless off-white paper background or a slab of light grey, subtly textured concrete. Every subtle wrinkle and the fine texture of the premium cotton jersey fabric are rendered with extreme clarity, conveying a mood of quiet luxury and high-end e-commerce.","",""
"cat_product","Product / Generic","product-generic","bm_footwear_store","Footwear Store","footwear-store","sub_footwear_on_feet","On Feet","on-feet","it","A candid-style fashion editorial, tightly cropped from the knee down to emphasize sneaker scale and wearability. Cinematography employs an 85mm lens at f/2.8, achieving razor-sharp focus on the product against a subtle, creamy bokeh. The lighting is impeccably clean, replicating diffused daylight from a large softbox, casting soft, defined shadows that sculpt the form. The environment is a minimalist, textured surface: weathered coastal stone, raw concrete steps, or a seamless studio backdrop in muted earth tones. The subject's pose is dynamic and unforced—a captured moment of walking or resting, conveying an effortless urban lifestyle. Styling combines tactile materials like raw-hem denim, flowing linen, and soft corduroy, grounding the look in contemporary realism.","",""
"cat_product","Product / Generic","product-generic","bm_footwear_store","Footwear Store","footwear-store","sub_footwear_clean_product","Product Clean","product-clean","it","Meticulous editorial product photography for a luxury brand. A pair of low-top sneakers are isolated against a seamless, neutral light gray cyclorama, bathed in perfectly even, shadowless illumination from a large overhead softbox. Captured with a Phase One medium format camera using a 100mm macro lens at f/9, ensuring every detail is tack-sharp. The design features a textural interplay of coarse gold glitter panels against matte taupe nubuck and crisp off-white leather. Thick woven laces and a translucent gum rubber sole complete the glam-leisure aesthetic. The composition is a clean, minimalist 3/4 view, focused entirely on the product's form and materials.","",""
"cat_product","Product / Generic","product-generic","bm_tshirt_brand","T-Shirt Brand","tshirt-brand","sub_tshirt_flat_lay","Flat Lay","flat-lay","it","A highly professional fashion editorial photography in a studio setting, high fashion magazine quality, pristine details.","",""
"cat_product","Product / Generic","product-generic","bm_tshirt_brand","T-Shirt Brand","tshirt-brand","sub_tshirt_ecommerce_clean","Ecommerce Clean","ecommerce-clean","it","A meticulously styled product shot capturing a single, classic crewneck t-shirt on a simple wooden hanger. The cinematography, reminiscent of a 35mm Kodak Portra 400 film stock, utilizes a 50mm lens at f/2.8 to achieve a creamy bokeh that isolates the subject. The environment is a minimalist industrial space, set against a raw, unpolished concrete or a warm, vertical wood-paneled wall. A single source of soft, diffused daylight streams in, sculpting the garment with subtle, natural shadows. The focus is hyper-sharp on the high-quality cotton texture, detailing every fine wrinkle and weave, creating a mood of understated, clean elegance and effortless sophistication.","",""
"cat_product","Product / Generic","product-generic","bm_tshirt_brand","T-Shirt Brand","tshirt-brand","sub_tshirt_creator_ugc","Creator / UGC Style","creator-ugc-style","it","Creator-style POV shot, framed through a visible ring light holding a smartphone. The scene is captured with a 35mm film aesthetic, mimicking the warm tones and soft grain of Kodak Portra 400. A stylish Gen Z creator enthusiastically presents a vintage-style graphic t-shirt for a social media haul video. The environment is a cluttered but artfully curated bedroom, walls covered in a collage of indie band posters, Keith Haring prints, and vinyl records. Soft, hazy afternoon sunlight streams through a window, mixing with the flat glow of the ring light, creating a dynamic, authentic lighting. The subject's expression is candid and engaging, styled in worn denim and exuding casual confidence.","",""
"cat_product","Product / Generic","product-generic","bm_tshirt_brand","T-Shirt Brand","tshirt-brand","sub_tshirt_print_detail","Print Detail","print-detail","it","A highly detailed macro product photography shot, captured with an 85mm macro lens at f/2.8, achieving an ultra-sharp focus on a t-shirt's screen-printed graphic. The image reveals the tactile weave of a light grey cotton-linen blend, adorned with a botanical design of teal and deep navy leaves. This extreme close-up highlights the subtle ink bleed into the individual fibers and the underlying CMYK halftone dot pattern, showcasing the print's technical quality. Soft, directional lighting from a single studio source grazes the surface, enhancing the fabric's texture and the ink's dimensionality against a shallow depth of field, with no background distractions.","",""